0001.0003.0016,100051000,Terreno,CENTRO LOTEAMENTO,CARLOS DE CARVALHO,3727,0003,0016,0,1,LOTEAMENTO CENTRO
0001.0008.0009,100154400,Terreno,CENTRO LOTEAMENTO,DUQUE DE CAXIAS,465,0008,0009,0,1,LOTEAMENTO CENTRO
0001.0008.0011,100154450,Terreno,CENTRO LOTEAMENTO,DUQUE DE CAXIAS,449,0008,0011,0,1,LOTEAMENTO CENTRO
0001.0008.0014,100154550,Terreno,CENTRO LOTEAMENTO,RIO DE JANEIRO,824,0008,0014,0,1,LOTEAMENTO CENTRO
0001.0008.0015,100154600,Terreno,CENTRO LOTEAMENTO,RIO DE JANEIRO,838,0008,0015,0,1,LOTEAMENTO CENTRO
0001.0009.0005,100156000,Terreno,CENTRO LOTEAMENTO,RIO GRANDE DO SUL,465,0009,0005,0,1,LOTEAMENTO CENTRO
0001.0009.0006,100156400,Terreno,CENTRO LOTEAMENTO,RIO GRANDE DO SUL,445,0009,0006,0,1,LOTEAMENTO CENTRO
0001.0009.0007,100156800,Terreno,CENTRO LOTEAMENTO,CARLOS GOMES,3715,0009,0007,0,1,LOTEAMENTO CENTRO
0001.0010.0008,100173500,Terreno,CENTRO LOTEAMENTO,BARAO DO CERRO AZUL,973,0010,0008,0,1,LOTEAMENTO CENTRO
0001.0011.000E,100184800,Terreno,CENTRO LOTEAMENTO,ERECHIM,1955,0011,000E,0,1,LOTEAMENTO CENTRO
0001.0013.008B,1000000194,Terreno,CENTRO LOTEAMENTO,PADRE CHAMPAGNAT,101,0013,008B,0,1,LOTEAMENTO CENTRO
0001.0014.0008,100263500,Terreno,CENTRO LOTEAMENTO,ANTONIO ALVES MASSANEIRO,141,0014,0008,0,1,LOTEAMENTO CENTRO
0001.0017.0020,100318000,Terreno,CENTRO LOTEAMENTO,SOUZA NAVES,3494,0017,0020,0,1,LOTEAMENTO CENTRO
0001.0019.0003,1000000277,Terreno,CENTRO LOTEAMENTO,SAO PAULO,365,0019,0003,0,1,LOTEAMENTO CENTRO
0001.0020.0003,100355000,Terreno,CENTRO LOTEAMENTO,RIO DE JANEIRO,1269,0020,0003,0,1,LOTEAMENTO CENTRO
0001.0020.0014,100365000,Terreno,CENTRO LOTEAMENTO,7 DE SETEMBRO - CASCAVEL,2590,0020,0014,0,1,LOTEAMENTO CENTRO
0001.0022.0005,100392000,Terreno,CENTRO LOTEAMENTO,RIO DE JANEIRO,965,0022,0005,0,1,LOTEAMENTO CENTRO
0001.0022.0007,100394000,Terreno,CENTRO LOTEAMENTO,GENERAL OSORIO,3305,0022,0007,0,1,LOTEAMENTO CENTRO
0001.0024.0006,100423000,Terreno,CENTRO LOTEAMENTO,BARAO DO CERRO AZUL,749,0024,0006,0,1,LOTEAMENTO CENTRO
0001.0024.0018,100435000,Terreno,CENTRO LOTEAMENTO,BARAO DO CERRO AZUL,679,0024,0018,0,1,LOTEAMENTO CENTRO
0001.0024.010B,100429000,Terreno,CENTRO LOTEAMENTO,CARLOS GOMES,3640,0024,010B,0,1,LOTEAMENTO CENTRO
0001.0025.0001,100436000,Terreno,CENTRO LOTEAMENTO,SANTA CATARINA,1079,0025,0001,0,1,LOTEAMENTO CENTRO
0001.0025.0022,3002191240,Terreno,CENTRO LOTEAMENTO,7 DE SETEMBRO - CASCAVEL,2498,0025,0022,0,1,LOTEAMENTO CENTRO
0001.0025.0023,100456000,Terreno,CENTRO LOTEAMENTO,7 DE SETEMBRO - CASCAVEL,2512,0025,0023,0,1,LOTEAMENTO CENTRO
0001.0026.004C,100461100,Terreno,CENTRO LOTEAMENTO,SANTA CATARINA,879,0026,004C,0,1,LOTEAMENTO CENTRO
0001.0028.0011,100503000,Terreno,CENTRO LOTEAMENTO,MARANHAO,616,0028,0011,0,1,LOTEAMENTO CENTRO
0001.0028.0015,100507000,Terreno,CENTRO LOTEAMENTO,GENERAL OSORIO,3178,0028,0015,0,1,LOTEAMENTO CENTRO
0001.0030.0009,100533000,Terreno,PARQUE SÃO PAULO,MARANHAO,310,0030,0009,0,1,LOTEAMENTO CENTRO
0001.0030.0010,100534000,Terreno,CENTRO LOTEAMENTO,MARANHAO,336,0030,0010,0,1,LOTEAMENTO CENTRO
0001.0032.0020,100575000,Terreno,PARQUE SÃO PAULO,CARLOS GOMES,3322,0032,0020,0,1,LOTEAMENTO CENTRO
